nodes,fostamatinib
GO:0006975,0.0003172802477798601
GO:1900086,0.0003156633052466393
GO:0030490,0.0003122619070859646
5599,0.00031193627144714955
7529,0.00031061285168565954
7040,0.0003102894961882677
GO:0030336,0.00030688458363928767
GO:1990641,0.0003065895887697063
7534,0.00030604094096851154
GO:0018217,0.0003059487965581791
GO:0051260,0.0003046454599406687
5595,0.0003043753661881929
857,0.0003030417698433503
GO:0030833,0.0002988938729010607
GO:0048024,0.0002979173501871643
5684,0.000297801301831858
7316,0.0002947061562405833
GO:2000352,0.0002933202956324987
23400,0.000292249332928448
GO:0070372,0.0002893223173740359
GO:0000186,0.0002891980537443394
GO:0007252,0.00028883358671333834
GO:1904355,0.0002876540720033238
112399,0.000287132054043696
GO:1900085,0.00028387283921468934
GO:0051897,0.00028286882811712005
GO:0036290,0.0002819615407735943
GO:0007166,0.00028144827041092705
GO:0007030,0.00027838124825799046
GO:0061178,0.0002780335976149985
GO:0008360,0.00027701280400893173
672,0.00027532200261594245
GO:0030036,0.0002746107743210634
GO:0007254,0.00027436775067047145
11315,0.0002739868719878663
4734,0.00027310113846164166
GO:0017148,0.00027156912265653514
GO:0009267,0.00027134915597368345
GO:0045727,0.0002712685207083702
GO:0032874,0.00027106291212272216
GO:0030334,0.00026995882829447906
5295,0.00026948990444506516
3303,0.0002692165404851873
472,0.0002680859177150523
GO:0033554,0.0002666168312876342
GO:0031547,0.0002656828454848046
GO:0043547,0.0002651433232276123
GO:0071300,0.00026479483265261396
GO:0006950,0.0002646222268218828
GO:0000165,0.0002641966827078721
7415,0.0002637623694332416
GO:0032088,0.00025933940158310827
GO:0016579,0.0002589026512307028
GO:0042787,0.0002569218485185515
GO:0042274,0.0002564267026291282
23411,0.0002561230943819947
4690,0.00025537698874682126
3265,0.0002541475626822545
GO:0035195,0.00025408790448670294
GO:0015858,0.00025398089945012707
GO:1903721,0.0002538076903445289
GO:0050730,0.0002535004699256037
GO:0014065,0.00025325903923040526
GO:0007258,0.00025128123372342056
7532,0.0002501375438762907
