drugs,proximity
DB00768,8364.016072972474
DB06211,8364.389981374527
DB01597,8364.389981374527
DB02659,8364.729847286155
DB06412,8366.334720492929
DB01110,8372.93375385187
DB01108,8374.073535182388
DB00997,8376.003147641657
DB06589,8378.597785575177
DB00668,8383.003445558466
DB00909,8386.75937401693
DB08875,8388.451701847001
DB01268,8391.289303801017
DB03793,8393.371383887128
DB00970,8396.599545857454
DB01223,8405.21072450852
DB01029,8408.28293361363
DB00130,8412.299233692413
DB01407,8414.653286773078
DB09517,8414.845401677696
DB00648,8415.009596748741
DB00421,8418.373328983354
DB08888,8426.101509043525
DB00608,8432.14952374475
DB09053,8437.492773702521
DB00445,8440.072137392419
DB00795,8441.915425254887
DB00279,8443.418093613784
L-Citrulline,8451.452575086138
DB00155,8451.452575086138
DB01118,8452.959920226038
DB00687,8455.13935353051
fludrocortisone-acetate,8455.13935353051
SN-38,8455.862164977056
DB05630,8455.862164977056
DB00993,8458.513116836832
DB00477,8461.079890083045
DB00540,8463.830290096419
DB00811,8464.612489773162
DB00321,8464.854726586294
DB09564,8469.171455691696
DB01306,8469.171455691696
DB01309,8469.171455691696
DB01307,8469.171455691696
DB01206,8471.821534685594
DB09078,8473.70083306498
DB01034,8474.31022490072
DB00339,8474.31022490072
DB00227,8478.585059710796
DB04967,8480.09110056415
DB05521,8480.258479228502
neridronic-acid,8485.599817369366
DB00282,8485.599817369366
DB00884,8485.599817369366
DB00710,8485.599817369366
DB01275,8486.38576134222
DB11273,8496.33329369401
DB06824,8496.827496028269
DB00995,8506.487103352245
DB01132,8509.248036921283
DB09213,8512.546736970602
DB00623,8524.953249819775
DB00605,8535.340854921964
DB00472,8536.71580873211
DB00181,8539.207035427891
DB09033,8539.648749601381
DB00324,8553.06553425958
DB01222,8553.06553425958
DB00223,8553.06553425958
DB00596,8553.06553425958
DB00180,8553.06553425958
dexamethasone-sodium-phosphate,8553.06553425958
cortisone,8553.06553425958
DB00591,8553.06553425958
DB00838,8553.06553425958
hydrocortisone-butyrate,8553.06553425958
DB00253,8553.06553425958
clobetasone-butyrate,8553.06553425958
DB08906,8553.06553425958
DB00873,8553.06553425958
DB00394,8553.06553425958
prednisolone-sodium-phosphate,8553.06553425958
DB01380,8553.06553425958
methylprednisolone-aceponate,8553.06553425958
DB00443,8553.06553425958
DB00959,8553.06553425958
DB00240,8553.06553425958
prednisolone-acetate,8553.06553425958
DB11824,8554.353460909846
DB13345,8559.921164104147
DB01049,8559.921164104147
DB05578,8566.573897024502
DB00627,8567.952057412173
DB08604,8571.206659342797
DB00736,8574.088567556166
DB00213,8574.088567556166
revaprazan,8574.088567556166
DB01129,8574.088567556166
DB08871,8576.96095711281
DB04115,8577.659095899771
DB00055,8579.295635254924
DB00127,8590.83920386263
DB12483,8592.308622473893
DB09054,8592.308622473893
DB11817,8598.44377567021
DB00857,8601.730224200728
DB00210,8606.985259187668
DB00741,8609.11374305478
DB06216,8610.459404390796
DB01436,8613.433239470587
DB08879,8617.384944278194
megestrol-acetate,8626.830489522657
DB00351,8626.830489522657
DB00764,8626.830489522657
DB00449,8627.418491567074
omeprazole-magnesium,8629.548497010648
DB05351,8629.548497010648
DB00363,8631.8534237551
DB00399,8636.000076917282
minodronic-acid,8636.000076917282
DB04868,8636.614553801937
DB06202,8637.914809646725
DB06720,8640.185843053
DB00230,8643.455956677015
DB08872,8643.455956677015
DB09089,8649.991289384909
DB06372,8653.130046152002
DB08895,8653.973240390163
DB08877,8653.973240390163
DB00102,8655.321893666964
DB00925,8656.736932423053
DB01026,8658.678773414525
ethanolamine-oleate,8662.888256926555
DB00356,8668.526170538104
DB01278,8670.691248754905
DB00331,8674.353834963224
DB09140,8674.60850451247
DB00799,8675.839841603316
DB00276,8676.977523705038
DB06819,8678.872546872853
DB01138,8681.025910288681
DB00770,8681.992290032775
DB00201,8684.210658755432
DB01109,8684.23088553136
DB00594,8687.214833858456
DB01151,8693.579073014378
DB00370,8693.735232261892
DB00368,8695.663691480044
DB03619,8698.875727184317
DB00029,8702.121718365823
DB00009,8702.121718365823
DB00015,8702.121718365825
DB00117,8714.74523440488
DB01076,8715.30493810997
DB11363,8718.640537577032
DB01016,8733.297026210801
DB01411,8736.736485854033
DB01063,8746.256878165663
DB00831,8747.556066042509
DB00005,8747.590468470822
DB00697,8754.358356355724
DB09074,8758.20616912546
DB01094,8759.239963152002
DB01404,8768.316798957476
DB00248,8773.587772471312
DB06637,8780.315997997672
DB01270,8781.49006262521
DB00996,8785.6254889811
DB00734,8786.683008498334
DB00908,8791.122415038595
DB01274,8795.987151479394
DB09082,8795.987151479394
DB00867,8795.987151479394
DB08941,8795.987151479394
DB12248,8795.987151479394
DB09080,8795.987151479394
DB08957,8795.987151479394
DB00816,8795.987151479394
DB01366,8795.987151479394
DB00887,8796.68763822378
DB01200,8798.389283850496
DB00374,8800.635508099042
DB01427,8805.89683565842
DB00036,8805.959660858156
DB04465,8809.416928749837
DB01199,8813.57003874642
DB00308,8814.938712287545
DB12159,8821.190322321172
DB01015,8821.924205299621
DB01250,8824.471848473979
DB01088,8827.394862792378
DB00661,8828.492681522464
DB00120,8831.852552128947
DB06594,8833.495131753223
DB00284,8834.693804387412
DB00589,8839.808020390863
DB06777,8844.957694936773
DB01365,8848.586723685132
DB01295,8851.183913590723
DB00099,8851.255707332293
DB09292,8854.1035583628
DB11696,8854.1035583628
DB00075,8855.190087823712
DB01045,8858.13066879156
DB06144,8866.19919550692
DB00598,8866.514492868106
DB06692,8874.493429287286
DB11629,8877.598439495074
DB01078,8880.29523057412
DB00048,8889.580319910192
DB11581,8891.187200101815
DB06756,8891.187200101815
DB12243,8891.187200101815
DB11595,8894.722422098761
DB00482,8899.849164818082
DB00982,8914.278212341953
DB06262,8917.520269107254
DB06152,8923.761988299659
DB00674,8943.306640799154
DB04946,8945.773295138466
DB04866,8951.920147877396
DB09046,8952.522848906523
DB01186,8955.695648730809
DB09030,8956.89268327978
DB00417,8960.83316531923
DB00042,8963.67071166592
DB00457,8972.910481946114
DB05389,8976.194820720495
DB00935,8977.408360157851
DB01267,8986.210560698377
DB00696,8987.519932761094
DB01003,8988.202545707953
DB09302,8990.283948114964
DB09069,8998.493630906692
DB12598,9007.676040078375
DB01070,9019.737865716408
DB06410,9019.737865716408
DB00153,9019.737865716408
DB00146,9019.737865716408
DB00169,9019.737865716408
DB13689,9019.737865716408
DB00910,9019.737865716408
falecalcitriol,9019.737865716408
DB06272,9019.737865716408
DB02300,9019.737865716408
DB01364,9020.65756461353
