nodelist,protein_product_fost,
57520,5.96E-09,
23512,5.95E-09,
5201,5.94E-09,
5608,5.92E-09,
5296,5.90E-09,
53826,5.89E-09,
1072,5.87E-09,
11235,5.87E-09,
5430,5.86E-09,
23468,5.84E-09,
5538,5.83E-09,
51474,5.80E-09,
4139,5.79E-09,
811,5.79E-09,
26191,5.76E-09,
7132,5.75E-09,
27339,5.73E-09,
6829,5.71E-09,
3313,5.70E-09,
2113,5.69E-09,
83737,5.65E-09,
7024,5.65E-09,
7015,5.64E-09,
9218,5.64E-09,
79870,5.64E-09,
55589,5.63E-09,
64127,5.63E-09,
6659,5.60E-09,
5290,5.59E-09,
58480,5.57E-09,
6280,5.57E-09,
386676,5.55E-09,
83987,5.55E-09,
5830,5.54E-09,
816,5.54E-09,
11335,5.54E-09,
57120,5.53E-09,
5609,5.52E-09,
3184,5.47E-09,
5579,5.41E-09,
83734,5.41E-09,
10459,5.41E-09,
6725,5.38E-09,
10594,5.38E-09,
5921,5.37E-09,
59272,5.36E-09,
4134,5.36E-09,
6198,5.35E-09,
5495,5.35E-09,
8678,5.34E-09,
7067,5.33E-09,
92140,5.33E-09,
604,5.32E-09,
8792,5.32E-09,
54361,5.31E-09,
3985,5.29E-09,
27086,5.27E-09,
